#**Total number of trips 75**
#**trip number**	**file_name**
0	segment-10023947602400723454_1120_000_1140_000_with_camera_labels.tfrecord
1	segment-1005081002024129653_5313_150_5333_150_with_camera_labels.tfrecord
2	segment-10061305430875486848_1080_000_1100_000_with_camera_labels.tfrecord
3	segment-10072140764565668044_4060_000_4080_000_with_camera_labels.tfrecord
4	segment-10072231702153043603_5725_000_5745_000_with_camera_labels.tfrecord
5	segment-10075870402459732738_1060_000_1080_000_with_camera_labels.tfrecord
6	segment-10082223140073588526_6140_000_6160_000_with_camera_labels.tfrecord
7	segment-10094743350625019937_3420_000_3440_000_with_camera_labels.tfrecord
8	segment-10096619443888687526_2820_000_2840_000_with_camera_labels.tfrecord
9	segment-10107710434105775874_760_000_780_000_with_camera_labels.tfrecord
10	segment-1022527355599519580_4866_960_4886_960_with_camera_labels.tfrecord
11	segment-10241508783381919015_2889_360_2909_360_with_camera_labels.tfrecord
12	segment-10275144660749673822_5755_561_5775_561_with_camera_labels.tfrecord
13	segment-10327752107000040525_1120_000_1140_000_with_camera_labels.tfrecord
14	segment-10391312872392849784_4099_400_4119_400_with_camera_labels.tfrecord
15	segment-10485926982439064520_4980_000_5000_000_with_camera_labels.tfrecord
16	segment-10498013744573185290_1240_000_1260_000_with_camera_labels.tfrecord
17	segment-10500357041547037089_1474_800_1494_800_with_camera_labels.tfrecord
18	segment-10517728057304349900_3360_000_3380_000_with_camera_labels.tfrecord
19	segment-1051897962568538022_238_170_258_170_with_camera_labels.tfrecord
20	segment-10584247114982259878_490_000_510_000_with_camera_labels.tfrecord
21	segment-10588771936253546636_2300_000_2320_000_with_camera_labels.tfrecord
22	segment-10596949720463106554_1933_530_1953_530_with_camera_labels.tfrecord
23	segment-10599748131695282446_1380_000_1400_000_with_camera_labels.tfrecord
24	segment-10664823084372323928_4360_000_4380_000_with_camera_labels.tfrecord
25	segment-10676267326664322837_311_180_331_180_with_camera_labels.tfrecord
26	segment-10724020115992582208_7660_400_7680_400_with_camera_labels.tfrecord
27	segment-10750135302241325253_180_000_200_000_with_camera_labels.tfrecord
28	segment-10786629299947667143_3440_000_3460_000_with_camera_labels.tfrecord
29	segment-10793018113277660068_2714_540_2734_540_with_camera_labels.tfrecord
30	segment-1083056852838271990_4080_000_4100_000_with_camera_labels.tfrecord
31	segment-10876852935525353526_1640_000_1660_000_with_camera_labels.tfrecord
32	segment-10923963890428322967_1445_000_1465_000_with_camera_labels.tfrecord
33	segment-10927752430968246422_4940_000_4960_000_with_camera_labels.tfrecord
34	segment-10940952441434390507_1888_710_1908_710_with_camera_labels.tfrecord
35	segment-10964956617027590844_1584_680_1604_680_with_camera_labels.tfrecord
36	segment-10975280749486260148_940_000_960_000_with_camera_labels.tfrecord
37	segment-11004685739714500220_2300_000_2320_000_with_camera_labels.tfrecord
38	segment-11017034898130016754_697_830_717_830_with_camera_labels.tfrecord
39	segment-11060291335850384275_3761_210_3781_210_with_camera_labels.tfrecord
40	segment-11070802577416161387_740_000_760_000_with_camera_labels.tfrecord
41	segment-11076364019363412893_1711_000_1731_000_with_camera_labels.tfrecord
42	segment-11113047206980595400_2560_000_2580_000_with_camera_labels.tfrecord
43	segment-11119453952284076633_1369_940_1389_940_with_camera_labels.tfrecord
44	segment-11126313430116606120_1439_990_1459_990_with_camera_labels.tfrecord
45	segment-11139647661584646830_5470_000_5490_000_with_camera_labels.tfrecord
46	segment-11183906854663518829_2294_000_2314_000_with_camera_labels.tfrecord
47	segment-11199484219241918646_2810_030_2830_030_with_camera_labels.tfrecord
48	segment-11219370372259322863_5320_000_5340_000_with_camera_labels.tfrecord
49	segment-11236550977973464715_3620_000_3640_000_with_camera_labels.tfrecord
50	segment-11252086830380107152_1540_000_1560_000_with_camera_labels.tfrecord
51	segment-11318901554551149504_520_000_540_000_with_camera_labels.tfrecord
52	segment-11379226583756500423_6230_810_6250_810_with_camera_labels.tfrecord
53	segment-11388947676680954806_5427_320_5447_320_with_camera_labels.tfrecord
54	segment-1146261869236413282_1680_000_1700_000_with_camera_labels.tfrecord
55	segment-11486225968269855324_92_000_112_000_with_camera_labels.tfrecord
56	segment-11588853832866011756_2184_462_2204_462_with_camera_labels.tfrecord
57	segment-11718898130355901268_2300_000_2320_000_with_camera_labels.tfrecord
58	segment-11799592541704458019_9828_750_9848_750_with_camera_labels.tfrecord
59	segment-11839652018869852123_2565_000_2585_000_with_camera_labels.tfrecord
60	segment-11846396154240966170_3540_000_3560_000_with_camera_labels.tfrecord
61	segment-11847506886204460250_1640_000_1660_000_with_camera_labels.tfrecord
62	segment-1191788760630624072_3880_000_3900_000_with_camera_labels.tfrecord
63	segment-11918003324473417938_1400_000_1420_000_with_camera_labels.tfrecord
64	segment-11925224148023145510_1040_000_1060_000_with_camera_labels.tfrecord
65	segment-11928449532664718059_1200_000_1220_000_with_camera_labels.tfrecord
66	segment-11940460932056521663_1760_000_1780_000_with_camera_labels.tfrecord
67	segment-11967272535264406807_580_000_600_000_with_camera_labels.tfrecord
68	segment-12012663867578114640_820_000_840_000_with_camera_labels.tfrecord
69	segment-12027892938363296829_4086_280_4106_280_with_camera_labels.tfrecord
70	segment-1208303279778032257_1360_000_1380_000_with_camera_labels.tfrecord
71	segment-12161824480686739258_1813_380_1833_380_with_camera_labels.tfrecord
72	segment-12174529769287588121_3848_440_3868_440_with_camera_labels.tfrecord
73	segment-12179768245749640056_5561_070_5581_070_with_camera_labels.tfrecord
74	segment-12200383401366682847_2552_140_2572_140_with_camera_labels.tfrecord
